,cause,effect,word
529,a public accusation saying that unk in collaboration with the former chair of the board of directors of bta bank,a member of the nur otan party,made
530,the opposition members stated that unk,any independent decision about the contracts or any transactions in the sector,make
531,both facilities,into operation in the last quarter of 2010 - first quarter of 2011,put
532,the family suspected foul play,of the circumstances that surrounded the murder of the 28-year-old surveyor,because
533,we,get the author of this crime,make
534,i know a lot about agriculture in niger,"i did my masters and phd theses on niger , and lived in maradi",because
535,unk a mine explosion,three police personnel dead and four others wounded in unk district of western farah province a local media source reported this morning,left
536,situation,under control same day but : `` this morning some unidentified youths,put
537,we have to create international credibility,niger 's economy,because
538,this heinous crime,to justice,brought
539,its story of a woman who believes she,from the stars is contrived and sentimental,make
540,concrete efforts,to truly curtail the use of taxpayers ' resources to finance frivolous foreign medical trips by nigeria 's,made
541,the transportation company of khartoum state announced it suffered `` heavy losses,of vandalism '',result
542,anymore,there is resonance on this matter in the fundamentalist islamic world,because
543,a big dust devil,it was hardly even attached to the cloud,because
544,he did n't get any scratches on his face,he 's already a pretty unattractive guy,because
545,this unk comedian,a career out of stating his opinions,made
546,to unk that `` harvest activities have been affected as people fled villages to take refuge in the forest,the already unstable food security situation worse,making
547,yemen,improvements a secessionist movement in the south and a battle with al-qaida,made
548,money,into people who are barred for that long,put
549,championships it,home with the turkish success imported from a variety of sources,brought
550,by applying copyright law,can also call it infringement of free expression,because
551,all,of us proud,make
552,the chronicle would be shirking its duty if mention,travel within countries of the sub-region,made
553,complete,peace and stability to the countries,bring
554,the unk protest,an announcement on what will happen,make
555,a signing,to a later meeting,put
556,will remain very,it,mean
557,the state,of the quantum of energy received from the national grid,because
558,situation,of oversights on the part of army during the discharge process,because
559,these problems have been traced to poor corporate governance,in losses of billions of dollars annually,resulting
560,he,a first class result and the best graduating student at the 1979 set of nigerian law school,made
